epoch,train_loss,val_loss,val_acc
1,0.62313,0.61592,0.62927
2,0.57083,0.59251,0.63415
3,0.55830,0.55498,0.66341
4,0.55081,0.64579,0.63415
5,0.54303,0.56179,0.68780
6,0.54982,0.52204,0.70732
7,0.52927,0.51954,0.69268
8,0.52146,0.53452,0.70732
9,0.51066,0.51619,0.69268
10,0.51813,0.56705,0.70732
11,0.51347,0.56120,0.69756
12,0.50349,0.49020,0.70732
13,0.51056,0.52710,0.72195
14,0.49742,0.54986,0.69756
15,0.49448,0.52664,0.71220
16,0.49875,0.58912,0.70244
17,0.48099,0.51114,0.71707
18,0.49042,0.53200,0.71220
19,0.46822,0.50035,0.72195
20,0.46311,0.47489,0.72683
21,0.43501,0.48588,0.74146
22,0.45752,0.54798,0.71707
23,0.45234,0.50994,0.72683
24,0.44180,0.48423,0.72683
25,0.42863,0.45416,0.73659
26,0.43312,0.52683,0.73171
27,0.42480,0.48028,0.74634
28,0.42513,0.58719,0.72683
29,0.43006,0.49401,0.76098
30,0.43462,0.46538,0.73171
31,0.42600,0.45176,0.76098
32,0.41377,0.55486,0.71220
33,0.40963,0.57371,0.70732
34,0.40663,0.54521,0.66829
35,0.41639,0.50080,0.75610
36,0.39778,0.46929,0.74146
37,0.39076,0.53886,0.73171
38,0.38217,0.48721,0.74146
39,0.38500,0.45539,0.76585
40,0.38165,0.45712,0.77073
41,0.39582,0.48336,0.74146
42,0.38414,0.46239,0.77073
43,0.37638,0.45725,0.77073
44,0.38383,0.50095,0.73659
45,0.37481,0.47445,0.75122
46,0.35346,0.45591,0.76098
47,0.37154,0.46274,0.74634
48,0.36799,0.50512,0.74146
49,0.36416,0.45755,0.76585
50,0.36202,0.47709,0.76098
